author,href,mark,rating_nums,title
三毛 ,https://book.douban.com/subject/1029111/,沙漠中寻常的生与死,8.9,哭泣的骆驼
高木直子 ,https://book.douban.com/subject/1346815/,独居生活之乐,8.4,一個人住第5年
[法] 雨果 ,https://book.douban.com/subject/1205054/,现实主义与浪漫主义的至高杰作,8.9,悲惨世界（上中下）
[美] 彼得·海斯勒 ,https://book.douban.com/subject/5414391/,中国在路上，非虚构写作所能达到的高度,9.0,寻路中国
梁文道 ,https://book.douban.com/subject/3344676/,献给这个常识稀缺的时代,8.1,常识
（美）罗伯特・T・清崎 ,https://book.douban.com/subject/1033778/,人穷穷观念，人富钱生钱,8.2,富爸爸，穷爸爸
[美] 沃尔特·艾萨克森 ,https://book.douban.com/subject/6798611/,完美主义者的最高形态,8.7,史蒂夫·乔布斯传
[印] 罗宾德拉纳德·泰戈尔 ,https://book.douban.com/subject/1058661/,淡泊，超脱,8.9,飞鸟集
曹禺 ,https://book.douban.com/subject/1013416/,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了,8.6,雷雨
[明] 施耐庵 ,https://book.douban.com/subject/1008357/,风风火火闯九州,8.5,水浒传（全二册）
尾田荣一郎 ,https://book.douban.com/subject/1474773/,热血，梦想，希望,9.5,海贼王
金庸 ,https://book.douban.com/subject/1212893/,武侠的解构，流氓的狂欢,8.8,鹿鼎记（全五册）
八月长安 ,https://book.douban.com/subject/4166819/,原作名切题,8.8,你好，旧时光（上 下）
[美] 奥德丽·尼芬格 ,https://book.douban.com/subject/2056749/,在时间的缝隙中穿行，然后相遇,8.1,时间旅行者的妻子
金庸 ,https://book.douban.com/subject/1070851/,不识张郎是张郎,8.6,倚天屠龙记(共四册)
吴承恩 ,https://book.douban.com/subject/1029553/,取经之路就在脚下,8.8,西游记（全二册）
王安忆 ,https://book.douban.com/subject/1082349/,现代上海史诗,8.2,长恨歌
鲁迅 ,https://book.douban.com/subject/1398395/,中国现代文学史上第一篇真正的现代白话小说,8.7,狂人日记
笛安 ,https://book.douban.com/subject/4874131/,自毁而偏执的东霓,8.1,东霓
鲍鲸鲸 ,https://book.douban.com/subject/4238754/,失恋是一种病，痊愈之后百毒不侵,8.1,失恋33天
约翰·赫斯特（John Hirst） ,https://book.douban.com/subject/5366248/,欧洲，为什么老是抢第一？,8.2,你一定爱读的极简欧洲史
八月长安 ,https://book.douban.com/subject/24754316/,耿耿余淮,8.8,最好的我们
[日] 川端康成 ,https://book.douban.com/subject/1005521/,静美又残酷，无限柔软的川端,8.2,伊豆的舞女
[英] 史蒂芬·霍金 ,https://book.douban.com/subject/1034282/,霍金与上帝的战争,8.8,时间简史
[美] 梭罗 ,https://book.douban.com/subject/1865089/,另一种生活,8.4,瓦尔登湖
史铁生 ,https://book.douban.com/subject/1209899/,这是你的罪孽与福祉,9.0,我与地坛
萧红 ,https://book.douban.com/subject/1060852/,萧红的童年往事,8.9,呼兰河传
林达 ,https://book.douban.com/subject/1027191/,窥见美国社会的一扇窗,9.0,历史深处的忧虑
[法] 司汤达 ,https://book.douban.com/subject/1007433/,阴谋与爱情,8.2,红与黑
钱穆 ,https://book.douban.com/subject/1003479/,一部简明的“中国政治制度史”,9.1,中国历代政治得失
[美] E.B.怀特 ,https://book.douban.com/subject/1036274/,猪与蜘蛛,8.6,夏洛的网
严歌苓 ,https://book.douban.com/subject/6880158/,翻手为苍凉，覆手为繁华,8.8,陆犯焉识
[英] 乔治·奥威尔 ,https://book.douban.com/subject/1082387/,一个预言和一个寓言，令人窒息的政治恐怖,9.3,一九八四·动物农场
七堇年 ,https://book.douban.com/subject/1963310/,两代人的成长与救赎,8.2,大地之灯
[意] 埃莱娜·费兰特 ,https://book.douban.com/subject/26878124/,两个女人，50年的友谊和战争,8.5,我的天才女友
九夜茴 ,https://book.douban.com/subject/2567919/,不悔梦归处 只恨太匆匆,8.3,匆匆那年（上下）
[美] 罗伯特·西奥迪尼 ,https://book.douban.com/subject/1786387/,营销防骗指南,8.6,影响力
安东尼 ,https://book.douban.com/subject/5327697/,定做一个刻着“不过如此”的章，盖在封面上,8.2,橙
[德] 帕·聚斯金德 ,https://book.douban.com/subject/1292416/,恋味癖谋杀案,8.5,香水
[日] 村上春树 ,https://book.douban.com/subject/1291809/,交叉平行蒙太奇,8.6,世界尽头与冷酷仙境
[美]  凯利·麦格尼格尔 ,https://book.douban.com/subject/10786473/,要么瘦，要么死,8.3,自控力
